RUBRO,CATEGORIA,SUB CATEGORIA,MAQUINA,NOMBRE COMERCIAL,ESPECIFICACIONES GENERALES,DISPONIBILIDAD,TONELAJE (T),LARGO ÚTIL (mm),CONTROL,ESP. MÁX ~ACERO (mm),MEDIDAS (mm),PESO (kg),MATERIALES Y ESPESORES,APLICACIONES TÍPICAS,REQUERIMIENTOS DE INSTALACIÓN,FOB SHANGHAI (USD) 🔵,SEÑA,COSTO C/IVA (int),VENT SIN IVA,VENT CON IVA,RESTANTE,MENSAJE WHATSAPP,URL FICHA PDF,PDF
METALURGICA,PLEGADORA,MANUAL,1.5x1300,,,,,,,,,,,,,,,,,,,,,
METALURGICA,PLEGADORA,MANUAL,1.5x1500,,,,,,,,,,,,,,,,,,,,,
METALURGICA,PLEGADORA,MANUAL,1.5x2000,,,,,,,,,,,,,,,,,,,,,
METALURGICA,PLEGADORA,MANUAL,1.5x2500,,,,,,,,,,,,,,,,,,,,,
METALURGICA,PLEGADORA,MANUAL,1.0x3000,,,,,,,,,,,,,,,,,,,,,
METALURGICA,PLEGADORA,ELECTRICA,1.5x1500,Plegadora Eléctrica 1.5x1500,Plegadora eléctrica para plegado de chapa de hasta 1.5 mm en un largo de 1500 mm. Operación motorizada para mayor rapidez en chapa fina.,POR PEDIDO,,1500,Eléctrica,"1,5 mm",2600x800x1300,420,"Acero al carbono ~1,5 mm · Galvanizado ~1,5 mm · Inoxidable ~1 mm · Aluminio ~2,4 mm","Chapa fina: cartelería y letras corpóreas, herrería liviana, canaletas y babetas, ductos y trabajos puntuales. Largo útil 1500 mm.","220V monofásica 50Hz · Motor ~1,5 kW · No requiere aire comprimido · Espacio: 2600 × 800 × 1300 mm · Peso 420 kg",1680,1764,3360,3496.83257918552,3863.9999999999995,2099.9999999999995,"🔵 Máquina: Plegadora Eléctrica 1.5x1500
⚙️ Especificaciones: Plegadora eléctrica para plegado de chapa de hasta 1.5 mm en un largo de 1500 mm. Operación motorizada para mayor rapidez en chapa fina.
📐 Dimensiones: 2600 x 800 x 1300 mm
⚖️ Peso: 420 kg
💰 Seña: USD 1.764,00 (Para empezar la operacion)
💰 Restante: USD 2.100,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 3.496,83 (Sin IVA)
💰 Valor total con IVA : USD 3.864,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,-
METALURGICA,PLEGADORA,ELECTRICA,1.5x2500,Plegadora Eléctrica 1.5x2500,Plegadora eléctrica para plegado de chapa de hasta 1.5 mm en un largo de 2500 mm. Operación motorizada para mayor rapidez en chapa fina.,POR PEDIDO,,2500,Eléctrica,"1,5 mm",3400x800x1300,600,"Acero al carbono ~1,5 mm · Galvanizado ~1,5 mm · Inoxidable ~1 mm · Aluminio ~2,4 mm","Chapa fina: cartelería y letras corpóreas, herrería liviana, canaletas y babetas, ductos y trabajos puntuales. Largo útil 2500 mm.","220V monofásica 50Hz · Motor ~1,5 kW · No requiere aire comprimido · Espacio: 3400 × 800 × 1300 mm · Peso 600 kg",1900,1995,3800,3954.7511312217193,4370,2375,"🔵 Máquina: Plegadora Eléctrica 1.5x2500
⚙️ Especificaciones: Plegadora eléctrica para plegado de chapa de hasta 1.5 mm en un largo de 2500 mm. Operación motorizada para mayor rapidez en chapa fina.
📐 Dimensiones: 3400 x 800 x 1300 mm
⚖️ Peso: 600 kg
💰 Seña: USD 1.995,00 (Para empezar la operacion)
💰 Restante: USD 2.375,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 3.954,75 (Sin IVA)
💰 Valor total con IVA : USD 4.370,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1f0dGkEOplItk7yzAL1Si-ZKny4JI6_EX/view?usp=drive_link,-
METALURGICA,PLEGADORA,ELECTRICA,2x2500,Plegadora Eléctrica 2x2500,Plegadora eléctrica para plegado de chapa de hasta 2 mm en un largo de 2500 mm. Operación motorizada para mayor rapidez en chapa fina.,POR PEDIDO,,2500,Eléctrica,2 mm,3400x780x1300,620,"Acero al carbono ~2 mm · Galvanizado ~2 mm · Inoxidable ~1,4 mm · Aluminio ~3,2 mm","Chapa fina: cartelería y letras corpóreas, herrería liviana, canaletas y babetas, ductos y trabajos puntuales. Largo útil 2500 mm.","220V monofásica 50Hz · Motor ~1,5 kW · No requiere aire comprimido · Espacio: 3400 × 780 × 1300 mm · Peso 620 kg",2700,2835,5400,5619.909502262442,6209.999999999999,3374.999999999999,"🔵 Máquina: Plegadora Eléctrica 2x2500
⚙️ Especificaciones: Plegadora eléctrica para plegado de chapa de hasta 2 mm en un largo de 2500 mm. Operación motorizada para mayor rapidez en chapa fina.
📐 Dimensiones: 3400 x 780 x 1300 mm
⚖️ Peso: 620 kg
💰 Seña: USD 2.835,00 (Para empezar la operacion)
💰 Restante: USD 3.375,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 5.619,91 (Sin IVA)
💰 Valor total con IVA : USD 6.210,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1f0dGkEOplItk7yzAL1Si-ZKny4JI6_EX/view?usp=drive_link,-
METALURGICA,PLEGADORA,HIDRAULICA NC (TP10S),63T/2500mm,Plegadora Hidráulica NC 63T/2500mm,"Plegadora hidráulica de 63 toneladas con largo útil de 2500 mm. Pliega hasta ~3 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.",POR PEDIDO,63,2500,NC (TP10S),~3 mm,2700x1340x2250,3600,Acero al carbono ~3 mm · Galvanizado ~3 mm · Inoxidable ~2 mm · Aluminio ~4 mm (a largo completo; en piezas más cortas aumentan),"Chapa fina/media: carpintería metálica, ductos de ventilación, cartelería, bandejas, gabinetes y tableros eléctricos, cerramientos y herrería.","380V trifásica 50Hz · Motor ~5,5 kW · No requiere aire comprimido · Espacio: 2700 × 1340 × 2250 mm + dejar ~2 m libres adelante y atrás para el manejo de chapa · Peso 3600 kg",7200,7560,14400,14986.425339366517,16560,9000,"🔵 Máquina: Plegadora Hidráulica NC 63T/2500mm
⚙️ Especificaciones: Plegadora hidráulica de 63 toneladas con largo útil de 2500 mm. Pliega hasta ~3 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.
📐 Dimensiones: 2700 x 1340 x 2250 mm
⚖️ Peso: 3600 kg
💰 Seña: USD 7.560,00 (Para empezar la operacion)
💰 Restante: USD 9.000,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 14.986,43 (Sin IVA)
💰 Valor total con IVA : USD 16.560,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,-
METALURGICA,PLEGADORA,HIDRAULICA NC (TP10S),100T/2500mm,Plegadora Hidráulica NC 100T/2500mm,"Plegadora hidráulica de 100 toneladas con largo útil de 2500 mm. Pliega hasta ~4 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.",POR PEDIDO,100,2500,NC (TP10S),~4 mm,2700x1500x2420,5800,"Acero al carbono ~4 mm · Galvanizado ~4 mm · Inoxidable ~2,5 mm · Aluminio ~6 mm (a largo completo; en piezas más cortas aumentan)","Chapa fina/media: carpintería metálica, ductos de ventilación, cartelería, bandejas, gabinetes y tableros eléctricos, cerramientos y herrería.","380V trifásica 50Hz · Motor ~7,5 kW · No requiere aire comprimido · Espacio: 2700 × 1500 × 2420 mm + dejar ~2 m libres adelante y atrás para el manejo de chapa · Peso 5800 kg",9120,9576,18240,18982.805429864253,20976,11400,"🔵 Máquina: Plegadora Hidráulica NC 100T/2500mm
⚙️ Especificaciones: Plegadora hidráulica de 100 toneladas con largo útil de 2500 mm. Pliega hasta ~4 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.
📐 Dimensiones: 2700 x 1500 x 2420 mm
⚖️ Peso: 5800 kg
💰 Seña: USD 9.576,00 (Para empezar la operacion)
💰 Restante: USD 11.400,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 18.982,81 (Sin IVA)
💰 Valor total con IVA : USD 20.976,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,-
